symbol,date,price,change_percent,high,low,ema20,ema50,ema100,ema200,score,trend,alignment,candles_count
HEG,2026-05-18,624.6,1.13,637.5,601.35,606.66,587.66,569.91,553.37,92.85,BULLISH,PERFECT,248
AUROPHARMA,2026-05-18,1511.8,0.06,1528.0,1503.3,1444.02,1370.39,1302.1,1244.2,86.55,BULLISH,PERFECT,247
NMDC,2026-05-18,91.41,-1.93,94.25,91.14,88.87,85.85,83.07,79.74,85.97,BULLISH,PERFECT,248
NATCOPHARM,2026-05-18,1199.1,-0.44,1225.0,1188.1,1137.38,1068.18,1003.94,951.37,84.89,BULLISH,PERFECT,248
SAIL,2026-05-18,192.4,-3.36,200.24,191.55,183.59,172.42,162.03,150.75,84.56,BULLISH,PERFECT,248
KEI,2026-05-18,5117.5,-0.53,5247.8,5073.0,4940.79,4730.87,4552.53,4322.31,84.19,BULLISH,PERFECT,248
DELHIVERY,2026-05-18,475.75,1.16,483.5,470.35,465.98,452.12,441.14,428.89,81.72,BULLISH,PERFECT,248
BSE,2026-05-18,4000.6,-0.92,4084.0,3971.1,3720.15,3393.34,3129.91,2896.97,81.55,BULLISH,PERFECT,248
NAM-INDIA,2026-05-18,1100.6,0.76,1105.7,1081.1,1038.82,978.74,936.0,892.43,81.28,BULLISH,PERFECT,248
ONGC,2026-05-18,299.35,-0.52,304.95,298.55,290.32,282.94,272.88,262.34,79.75,BULLISH,PERFECT,248
BAJAJ-AUTO,2026-05-18,10377.5,-0.7,10540.5,10296.0,10112.31,9793.84,9573.49,9326.24,78.82,BULLISH,PERFECT,248
ASTERDM,2026-05-18,753.65,0.94,766.95,740.2,721.11,689.45,664.76,643.94,75.93,BULLISH,PERFECT,248
SCI,2026-05-18,331.4,1.38,343.1,318.15,310.75,283.17,263.19,244.75,72.68,BULLISH,PERFECT,248
GRANULES,2026-05-18,736.2,0.12,748.8,731.2,710.03,665.82,628.47,591.16,72.16,BULLISH,PERFECT,247
MCX,2026-05-18,3391.0,1.55,3423.0,3350.0,3026.77,2795.13,2562.67,2256.6,71.57,BULLISH,PERFECT,248
MOTHERSON,2026-05-18,129.92,3.02,131.61,125.58,125.25,122.5,119.75,114.92,71.18,BULLISH,PERFECT,248
CRAFTSMAN,2026-05-18,8462.5,-1.22,8760.0,8320.0,8108.66,7740.56,7503.58,7114.77,70.33,BULLISH,PERFECT,246
USHAMART,2026-05-18,472.95,-0.69,480.7,470.1,459.82,443.18,433.84,418.94,69.17,BULLISH,PERFECT,248
KIRLOSENG,2026-05-18,1740.2,8.99,1775.0,1536.1,1642.71,1545.29,1417.17,1259.58,68.84,BULLISH,PERFECT,247
HONASA,2026-05-18,354.0,0.31,364.7,350.4,344.68,327.43,311.98,299.6,68.53,BULLISH,PERFECT,247
EMCURE,2026-05-18,1704.9,1.74,1718.1,1659.9,1656.64,1602.6,1542.17,1457.91,63.54,BULLISH,PERFECT,245
GRAPHITE,2026-05-18,774.45,1.95,802.4,736.15,723.62,690.68,659.89,626.56,62.51,BULLISH,PERFECT,248
IFCI,2026-05-18,63.29,-2.78,65.62,63.0,61.2,58.94,57.52,56.46,62.09,BULLISH,PERFECT,248
APARINDS,2026-05-18,12650.0,-0.67,13024.0,12505.0,12213.09,11293.86,10420.56,9616.73,57.62,BULLISH,PERFECT,248
HINDZINC,2026-05-18,637.8,-4.7,659.95,632.15,620.55,598.14,581.67,550.63,57.56,BULLISH,PERFECT,248
BHEL,2026-05-18,398.3,-3.59,415.65,397.0,368.84,326.62,299.99,279.76,57.52,BULLISH,PERFECT,248
CUMMINSIND,2026-05-18,5392.0,0.47,5430.0,5322.0,5225.42,5001.93,4747.49,4390.47,57.41,BULLISH,PERFECT,248
SAILIFE,2026-05-18,1090.9,-1.94,1118.7,949.3,1067.01,1021.46,977.06,923.76,57.17,BULLISH,PERFECT,248
ACUTAAS,2026-05-18,2731.0,0.15,2769.9,2702.8,2615.54,2422.13,2200.12,1918.15,56.82,BULLISH,PERFECT,236
NAVINFLUOR,2026-05-18,7001.0,1.57,7020.0,6861.0,6778.82,6518.57,6258.33,5842.37,56.4,BULLISH,PERFECT,247
APOLLOHOSP,2026-05-18,8082.5,-0.45,8170.0,8028.5,7856.02,7682.24,7561.0,7454.68,55.7,BULLISH,PERFECT,248
JBCHEPHARM,2026-05-18,2140.4,0.12,2160.1,2124.4,2093.6,2048.03,1984.75,1896.22,54.98,BULLISH,PERFECT,248
AMBER,2026-05-18,8476.5,2.27,8541.0,8162.5,8143.45,7689.48,7413.06,7226.1,54.77,BULLISH,PERFECT,248
JSWSTEEL,2026-05-18,1278.8,-1.4,1314.0,1274.2,1261.21,1233.92,1207.59,1166.98,54.71,BULLISH,PERFECT,248
POLYCAB,2026-05-18,9152.5,-0.71,9267.5,9100.0,8545.37,8099.58,7826.03,7497.88,53.23,BULLISH,PERFECT,248
ADANIPORTS,2026-05-18,1795.1,1.22,1823.9,1766.2,1680.95,1584.11,1528.39,1485.54,52.51,BULLISH,PERFECT,248
THERMAX,2026-05-18,4500.4,-2.12,4660.0,4488.6,4228.76,3836.39,3546.88,3403.12,52.41,BULLISH,PERFECT,247
ANURAS,2026-05-18,1376.0,0.05,1389.5,1365.1,1343.17,1310.51,1279.23,1221.84,51.09,BULLISH,PERFECT,247
TATASTEEL,2026-05-18,216.84,-1.94,224.4,216.0,213.15,206.8,198.67,187.67,49.2,BULLISH,PERFECT,248
HINDALCO,2026-05-18,1067.5,-3.24,1101.2,1057.6,1042.4,999.58,951.36,881.03,49.15,BULLISH,PERFECT,248
NLCINDIA,2026-05-18,352.8,-4.88,375.2,350.6,320.14,296.98,280.29,266.32,48.93,BULLISH,PERFECT,248
NYKAA,2026-05-18,272.4,-0.22,276.9,270.3,266.29,261.14,257.05,247.71,48.72,BULLISH,PERFECT,248
RADICO,2026-05-18,3499.2,1.1,3529.0,3468.1,3332.29,3125.77,3029.81,2954.98,48.21,BULLISH,PERFECT,247
LAURUSLABS,2026-05-18,1323.6,0.62,1327.9,1309.9,1195.5,1123.06,1069.12,986.7,47.9,BULLISH,PERFECT,248
RRKABEL,2026-05-18,1953.8,-4.1,2048.3,1941.3,1756.98,1594.77,1508.92,1439.33,46.97,BULLISH,PERFECT,246
ADANIPOWER,2026-05-18,221.33,-1.41,229.0,213.78,213.71,191.54,173.02,156.04,46.69,BULLISH,PERFECT,248
WELCORP,2026-05-18,1309.0,-4.28,1377.4,1303.3,1237.44,1084.48,979.62,913.88,45.15,BULLISH,PERFECT,248
MARICO,2026-05-18,841.15,0.74,847.75,834.1,806.51,783.72,768.27,752.03,44.54,BULLISH,PERFECT,248
RBLBANK,2026-05-18,338.1,0.27,339.5,334.0,329.67,320.84,312.93,296.92,44.51,BULLISH,PERFECT,248
VTL,2026-05-18,606.95,0.16,620.0,604.0,595.85,565.72,530.66,502.86,42.66,BULLISH,PERFECT,248
SCHNEIDER,2026-05-18,1264.3,-3.86,1318.0,1249.3,1223.97,1084.51,971.55,884.96,42.53,BULLISH,PERFECT,248
CGPOWER,2026-05-18,838.2,-1.18,848.0,833.0,820.59,771.55,735.26,714.45,41.49,BULLISH,PERFECT,248
HFCL,2026-05-18,147.89,-2.44,153.25,146.2,127.24,103.97,90.15,83.48,41.43,BULLISH,PERFECT,248
ADANIGREEN,2026-05-18,1379.0,-2.54,1471.0,1370.1,1277.5,1142.61,1067.72,1032.02,41.16,BULLISH,PERFECT,248
FORTIS,2026-05-18,963.65,-0.72,977.45,962.0,937.24,908.43,900.13,882.9,41.13,BULLISH,PERFECT,248
MANAPPURAM,2026-05-18,307.45,-1.17,313.65,303.5,298.12,288.18,285.31,279.14,40.48,BULLISH,PERFECT,248
TORNTPHARM,2026-05-18,4405.7,0.04,4450.4,4380.3,4299.5,4230.42,4122.68,3934.1,40.05,BULLISH,PERFECT,248
ATHERENERG,2026-05-18,937.4,-0.31,965.8,926.05,912.68,847.82,776.74,676.62,37.92,BULLISH,PERFECT,248
GESHIP,2026-05-18,1533.9,3.3,1642.7,1503.7,1505.65,1440.34,1348.0,1233.38,37.6,BULLISH,PERFECT,248
LLOYDSME,2026-05-18,1734.0,-1.42,1768.5,1725.0,1696.15,1547.74,1437.23,1379.98,32.31,BULLISH,PERFECT,248
TIMKEN,2026-05-18,3531.2,0.46,3585.8,3467.4,3507.34,3421.12,3317.87,3227.83,31.46,BULLISH,PERFECT,247
FINCABLES,2026-05-18,1050.9,-2.18,1081.8,1045.0,1026.02,948.42,892.89,871.48,27.0,BULLISH,PERFECT,248
POWERINDIA,2026-05-18,32535.0,0.76,32695.0,31195.0,31934.03,28996.95,25948.0,23040.55,25.32,BULLISH,PERFECT,248
GLAND,2026-05-18,1868.3,-1.58,1950.0,1853.6,1821.45,1780.56,1772.76,1762.06,23.61,BULLISH,PERFECT,247
ABCAPITAL,2026-05-18,357.15,2.15,363.35,346.25,348.33,341.18,335.97,319.14,22.87,BULLISH,PERFECT,248
ATUL,2026-05-18,7100.0,1.87,7140.0,6976.0,6852.59,6636.07,6476.61,6439.02,22.75,BULLISH,PERFECT,248
ANANDRATHI,2026-05-18,3583.1,0.22,3619.0,3548.2,3552.14,3405.77,3244.23,2998.89,21.2,BULLISH,PERFECT,246
NEULANDLAB,2026-05-18,16590.0,-0.54,16880.0,15900.0,15966.46,14895.08,14524.14,14202.21,20.52,BULLISH,PERFECT,248
AJANTPHARM,2026-05-18,3177.2,-2.52,3289.9,3160.0,2992.47,2914.51,2847.84,2766.53,20.07,BULLISH,PERFECT,247
BANDHANBNK,2026-05-18,194.46,-2.3,200.19,194.01,192.39,180.3,171.85,167.69,19.27,BULLISH,PERFECT,248
GABRIEL,2026-05-18,1091.0,-0.59,1105.1,1081.0,1054.81,1001.86,992.21,973.83,19.24,BULLISH,PERFECT,248
HSCL,2026-05-18,596.0,-3.41,624.2,588.15,584.42,535.1,505.02,486.84,19.24,BULLISH,PERFECT,248
GRASIM,2026-05-18,2933.8,-0.17,2968.4,2924.3,2863.61,2801.91,2787.21,2779.4,18.16,BULLISH,PERFECT,248
ENGINERSIN,2026-05-18,246.75,-2.87,254.75,244.25,245.1,228.99,216.76,209.37,17.63,BULLISH,PERFECT,248
BHARATFORG,2026-05-18,1913.1,-1.84,1959.7,1905.1,1899.64,1822.36,1710.15,1566.31,15.53,BULLISH,PERFECT,247
NESTLEIND,2026-05-18,1430.5,-1.99,1467.5,1427.5,1424.9,1355.86,1313.46,1276.8,14.58,BULLISH,PERFECT,248
VIJAYA,2026-05-18,1329.2,4.67,1379.3,1258.3,1183.75,1086.01,1041.93,1016.35,14.03,BULLISH,PERFECT,247
JPPOWER,2026-05-18,19.54,9.41,20.38,17.43,18.58,17.62,17.15,17.08,12.22,BULLISH,PERFECT,248
ANGELONE,2026-05-18,306.85,1.04,311.55,303.15,305.13,285.9,272.04,266.14,11.04,BULLISH,PERFECT,248
GLENMARK,2026-05-18,2325.9,-0.63,2367.9,2317.1,2317.74,2240.58,2151.13,2027.67,10.95,BULLISH,PERFECT,248
COALINDIA,2026-05-18,462.2,1.79,468.5,455.25,461.18,452.46,438.77,423.04,10.46,BULLISH,PERFECT,248
